#,squad,page_id,tags,title,description,intent,video_id,intent_type,channel,category,category_icon,is_deep_link_available,deeplink,priority,line_of_business,resident_type,visibility,product_category,query_category,query_sub_category,sr_category,sr_name,is_popular,label,intent_priority,Follow up 1,Follow up 2 ,Follow up 3,nlu_intent,nlu_entities,nlu_examples,nlu_disambiguation_hint
1,RAS,All,balance enquiry|check balance|account balance|view balance|total balance|all accounts balance|available balance|balance|balances|show balance|show my balance|what is my balance|whats my balance|my balance|current balance|bank balance|savings balance|how much money do I have|bal|balance check|available funds|ledger balance|account balance enquiry|check my account balance|money in my account|how much in my account|account ka balance|show me my balance|tell me my balance,Check balance across accounts,Please find your account balance below ,S_BALANCE,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,True,Accounts,,,fd_rd,,False,View Balance,,Book FD ,Add Money,Download Statement ,view_balance,"{""action"": ""view"", ""feature"": ""balance"", ""product"": ""account""}",balance enquiry|check balance|account balance|view balance|total balance|all accounts balance|available balance|balance|balances|show balance|show my balance|what is my balance,Use for View Balance. Feature is balance.
2,RAS,All,recent transactions|last transactions|mini statement|recent activity|transaction history|last payments|account activity|transactions|transaction|show transactions|my transactions|last 5 transactions|last 10 transactions|recent debits|recent credits|view mini statement|txn|txn history|latest transactions|show recent activity|what did I spend|debit history|credit history|passbook entries|recent payments|where did my money go|last few transactions|show my recent transactions,View latest transactions,Please check your last 5 transactions below ,VIEW_TRANSACTIONS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,Accounts,,,fd_rd,,False,View Transactions ,,,,,view_transactions,"{""action"": ""view"", ""feature"": ""transactions"", ""product"": ""account"", ""transaction_status"": ""recent""}",recent transactions|last transactions|mini statement|recent activity|transaction history|last payments|account activity|transactions|transaction|show transactions|my transactions|last 5 transactions,Use for View Transactions. Feature is transactions. Transaction bucket is recent.
3,RAS,All,recent requests|service requests|request status|support requests|complaint status|open requests|request history|case|support tickets|my requests|my service requests|track request|sr status|sr tracker|view sr|my open requests|my tickets|ticket status|track ticket|raised requests|request tracking|service request status|track my service request|show my requests,How do I track my service requests?,Track the status of your service requests and view updates for all open and past requests.,VIEW_RECENT_REQUESTS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,profile,,,fd_rd,,False,View Recent Requests ,,,,,view_service_request,"{""action"": ""view"", ""feature"": ""service_request"", ""product"": ""service_request"", ""request_type"": ""service_request_tracking"", ""service_type"": ""service_request""}",recent requests|service requests|request status|support requests|complaint status|open requests|request history|case|support tickets|my requests|my service requests|track request,Use for View Recent Requests. Feature is service request. Service type is service request.
4,RL,All,loan documents|download loan files|loan papers|loan agreement|loan records|loan documents pdf|loan paperwork|loan|loan document download|loan sanction letter|loan welcome letter|loan amortization schedule|get loan documents|download loan agreement|loan certificates|my loan documents|loan statement|loan repayment schedule|loan kfs|loan key fact statement,Download loan documents,Download loan-related documents from the list,DOWNLOAD_LOAN_DOCUMENTS,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,True,loans,,,fd_rd,,False,Download Loan Documents,,,,,download_loan_documents,"{""action"": ""download"", ""document_type"": ""loan_document"", ""feature"": ""loan_documents"", ""loan_type"": ""loan"", ""product"": ""loan""}",loan documents|download loan files|loan papers|loan agreement|loan records|loan documents pdf|loan paperwork|loan|loan document download|loan sanction letter|loan welcome letter|loan amortization schedule,Use for Download Loan Documents. Feature is loan documents. Loan type is loan. Document requested is loan document.
5,RAS,All,temporary block debit card|lost debit card|debit card security|block card|freeze debit card|card misuse|debit card control|block my debit card|temporarily block debit card|debit card lost|debit card stolen|debit card misplaced|hotlist debit card|stop debit card|suspend debit card|freeze my debit card|block dc|dc block|deactivate debit card temporarily|i lost my debit card|my debit card is missing|atm card block,Temporary Block debit card,Please select  the debit card you want to block temporarily to prevent unauthorized transactions,BLOCK_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,True,debit_cards,,,debit_cards,,False,Temporary Block Debit Card,,,,,block_temporary_debit_card,"{""action"": ""block"", ""card_type"": ""debit_card"", ""feature"": ""temporary_debit_card"", ""product"": ""debit_card"", ""status"": ""temporary""}",temporary block debit card|lost debit card|debit card security|block card|freeze debit card|card misuse|debit card control|block my debit card|temporarily block debit card|debit card lost|debit card stolen|debit card misplaced,Use for Temporary Block Debit Card. Feature is temporary debit card. Card type is debit card. Block/status qualifier is temporary.
6,RAS,All,unblock debit card|debit card unblock|unblock card|resume debit card|enable debit card|card control|debit card status|unblock my debit card|reactivate debit card|activate debit card|enable my debit card|debit card unfreeze|remove block on debit card|unblock dc|dc unblock|lift debit card block|atm card unblock|found my debit card|re-enable debit card,Unblock debit card,Please select the debit card you want to unblock if it was temporarily blocked earlier,UNBLOCK_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,True,debit_cards,,,debit_cards,,False,Unblock Debit Card ,,,,,unblock_debit_card,"{""action"": ""unblock"", ""card_type"": ""debit_card"", ""feature"": ""debit_card"", ""product"": ""debit_card""}",unblock debit card|debit card unblock|unblock card|resume debit card|enable debit card|card control|debit card status|unblock my debit card|reactivate debit card|activate debit card|enable my debit card|debit card unfreeze,Use for Unblock Debit Card. Feature is debit card. Card type is debit card.
7,CC,All,block credit card|lost credit card|credit card security|block card|freeze credit card|card misuse|credit card control|credit card|block my credit card|temporarily block credit card|credit card lost|credit card stolen|credit card misplaced|hotlist credit card|stop credit card|suspend credit card|block cc|cc block|deactivate credit card temporarily|i lost my credit card|my credit card is missing,Block credit card,Please select the credit card you want to block temporarily to prevent unauthorized transactions,BLOCK_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,Temporary Block Credit Card ,,,,,block_temporary_credit_card,"{""action"": ""block"", ""card_type"": ""credit_card"", ""feature"": ""temporary_credit_card"", ""product"": ""credit_card"", ""status"": ""temporary""}",block credit card|lost credit card|credit card security|block card|freeze credit card|card misuse|credit card control|credit card|block my credit card|temporarily block credit card|credit card lost|credit card stolen,Use for Temporary Block Credit Card. Feature is temporary credit card. Card type is credit card. Block/status qualifier is temporary.
8,CC,All,unblock credit card|credit card unblock|unblock card|resume credit card|enable credit card|card control|unblock my credit card|reactivate credit card|activate credit card|enable my credit card|credit card unfreeze|remove block on credit card|unblock cc|cc unblock|lift credit card block|found my credit card|re-enable credit card,Unblock credit card,Please select the credit card you want to unblock if it was temporarily blocked earlier,UNBLOCK_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,UnBlock Credit Card ,,,,,unblock_credit_card,"{""action"": ""unblock"", ""card_type"": ""credit_card"", ""feature"": ""credit_card"", ""product"": ""credit_card""}",unblock credit card|credit card unblock|unblock card|resume credit card|enable credit card|card control|unblock my credit card|reactivate credit card|activate credit card|enable my credit card|credit card unfreeze|remove block on credit card,Use for UnBlock Credit Card. Feature is credit card. Card type is credit card.
9,RAS,All,savings interest|interest rate savings|savings rate|account interest|interest earnings|current rate|savings returns|interest|savings account interest|savings ac rate|sb interest rate|sb account interest|what is my interest rate|savings account roi|sa interest|current savings rate|savings interest percentage|interest rate on savings|saving account interest rate,What is the savings account interest rate?,"Sure, please find your savings interest rate below",SAVINGS_INTEREST_RATES,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,Accounts,,,Accounts,,False,Savings Interest Rates,,,,,view_savings_interest_rates,"{""account_type"": ""savings_account"", ""action"": ""view"", ""feature"": ""savings_interest_rates"", ""product"": ""savings_account""}",savings interest|interest rate savings|savings rate|account interest|interest earnings|current rate|savings returns|interest|savings account interest|savings ac rate|sb interest rate|sb account interest,Use for Savings Interest Rates. Feature is savings interest rates.
10,CC,All,credit card outstanding|statement balance|total due|card dues|amount payable|billing balance|credit card bill|cc outstanding|credit card due|cc due|credit card outstanding balance|my credit card dues|how much do I owe on credit card|credit card payable|cc bill amount|total credit card outstanding|my cc bill|what do I owe on my credit card|credit card balance due,What is my credit card outstanding?,You can view your total outstanding and statement balance for your credit card in one place.,CREDIT_CARD_OUTSTANDING_AMOUNT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,Credit Card Outstanding Amount,,,,,view_credit_card_outstanding,"{""action"": ""view"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_outstanding"", ""product"": ""credit_card""}",credit card outstanding|statement balance|total due|card dues|amount payable|billing balance|credit card bill|cc outstanding|credit card due|cc due|credit card outstanding balance|my credit card dues,Use for Credit Card Outstanding Amount. Feature is credit card outstanding. Card type is credit card.
11,RAS,All,relationship manager|rm details|rm contact|assigned rm|account manager|bank rm|rm phone email|RM|my rm|who is my rm|contact my rm|rm name|rm email|rm number|relationship manager number|relationship manager contact|my account manager|my banker|personal banker|branch manager contact,Who is my relationship manager?,You can view your assigned Relationship Manager’s name and contact details instantly.,RELATIONSHIP_MANAGER_DETAILS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,Accounts,,,Accounts,,False,Relationship Manager Details,,,,,view_relationship_manager,"{""action"": ""view"", ""feature"": ""relationship_manager"", ""product"": ""relationship_manager""}",relationship manager|rm details|rm contact|assigned rm|account manager|bank rm|rm phone email|RM|my rm|who is my rm|contact my rm|rm name,Use for Relationship Manager Details. Feature is relationship manager.
12,CC,All,credit card status|credit card state|card availability|is my credit card active|cc status|credit card active or blocked|my cc status|check credit card status|credit card active status|is my cc blocked|credit card current status|is my credit card working,What is the status of my credit card?,"You can check whether your credit card is active, temporarily blocked, or permanently blocked.",CREDIT_CARD_STATUS,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,Credit Card Status,,,,,view_credit_card_status,"{""action"": ""view"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_status"", ""product"": ""credit_card"", ""status"": ""active_or_blocked""}",credit card status|credit card state|card availability|is my credit card active|cc status|credit card active or blocked|my cc status|check credit card status|credit card active status|is my cc blocked|credit card current status|is my credit card working,Use for Credit Card Status. Feature is credit card status. Card type is credit card. Block/status qualifier is active or blocked.
13,CC,All,credit limit|available limit|remaining limit|card limit|spending limit|credit balance|limit details|cc limit|my credit card limit|available credit limit|what is my cc limit|how much can I spend on credit card|total credit limit|current credit limit|cc available limit|credit card max limit|remaining credit card limit,What is my available credit limit?,You can view your total credit limit and current available limit for each card.,CREDIT_CARD_LIMIT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,Credit Card Limit,,,,,view_credit_card_limit,"{""action"": ""view"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_limit"", ""limit_type"": ""credit_limit"", ""product"": ""credit_card""}",credit limit|available limit|remaining limit|card limit|spending limit|credit balance|limit details|cc limit|my credit card limit|available credit limit|what is my cc limit|how much can I spend on credit card,Use for Credit Card Limit. Feature is credit card limit. Card type is credit card.
