#,squad,page_id,tags,title,description,intent,video_id,intent_type,channel,category,category_icon,is_deep_link_available,deeplink,priority,line_of_business,resident_type,visibility,product_category,query_category,query_sub_category,sr_category,sr_name,is_popular,label,intent_priority,Follow up 1,Follow up 2 ,Follow up 3
1,RAS,All,balance enquiry|check balance|account balance|view balance|total balance|all accounts balance|available balance|balance|balances|show balance|show my balance|what is my balance|whats my balance|my balance|current balance|bank balance|savings balance|how much money do I have|bal|balance check|available funds|ledger balance|account balance enquiry|check my account balance|money in my account|how much in my account|account ka balance|show me my balance|tell me my balance,Check balance across accounts,Please find your account balance below ,S_BALANCE,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,TRUE,Accounts,,,fd_rd,,FALSE,View Balance,,Book FD ,Add Money,Download Statement 
2,RAS,All,recent transactions|last transactions|mini statement|recent activity|transaction history|last payments|account activity|transactions|transaction|show transactions|my transactions|last 5 transactions|last 10 transactions|recent debits|recent credits|view mini statement|txn|txn history|latest transactions|show recent activity|what did I spend|debit history|credit history|passbook entries|recent payments|where did my money go|last few transactions|show my recent transactions,View latest transactions,Please check your last 5 transactions below ,VIEW_TRANSACTIONS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,Accounts,,,fd_rd,,FALSE,View Transactions ,,,,
3,RAS,All,recent requests|service requests|request status|support requests|complaint status|open requests|request history|case|support tickets|my requests|my service requests|track request|sr status|sr tracker|view sr|my open requests|my tickets|ticket status|track ticket|raised requests|request tracking|service request status|track my service request|show my requests,How do I track my service requests?,Track the status of your service requests and view updates for all open and past requests.,VIEW_RECENT_REQUESTS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,profile,,,fd_rd,,FALSE,View Recent Requests ,,,,
4,RL,All,loan documents|download loan files|loan papers|loan agreement|loan records|loan documents pdf|loan paperwork|loan|loan document download|loan sanction letter|loan welcome letter|loan amortization schedule|get loan documents|download loan agreement|loan certificates|my loan documents|loan statement|loan repayment schedule|loan kfs|loan key fact statement,Download loan documents,Download loan-related documents from the list,DOWNLOAD_LOAN_DOCUMENTS,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,TRUE,loans,,,fd_rd,,FALSE,Download Loan Documents,,,,
5,RAS,All,temporary block debit card|lost debit card|debit card security|block card|freeze debit card|card misuse|debit card control|block my debit card|temporarily block debit card|debit card lost|debit card stolen|debit card misplaced|hotlist debit card|stop debit card|suspend debit card|freeze my debit card|block dc|dc block|deactivate debit card temporarily|i lost my debit card|my debit card is missing|atm card block,Temporary Block debit card,Please select  the debit card you want to block temporarily to prevent unauthorized transactions,BLOCK_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,TRUE,debit_cards,,,debit_cards,,FALSE,Temporary Block Debit Card,,,,
6,RAS,All,unblock debit card|debit card unblock|unblock card|resume debit card|enable debit card|card control|debit card status|unblock my debit card|reactivate debit card|activate debit card|enable my debit card|debit card unfreeze|remove block on debit card|unblock dc|dc unblock|lift debit card block|atm card unblock|found my debit card|re-enable debit card,Unblock debit card,Please select the debit card you want to unblock if it was temporarily blocked earlier,UNBLOCK_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,TRUE,debit_cards,,,debit_cards,,FALSE,Unblock Debit Card ,,,,
7,CC,All,block credit card|lost credit card|credit card security|block card|freeze credit card|card misuse|credit card control|credit card|block my credit card|temporarily block credit card|credit card lost|credit card stolen|credit card misplaced|hotlist credit card|stop credit card|suspend credit card|block cc|cc block|deactivate credit card temporarily|i lost my credit card|my credit card is missing,Block credit card,Please select the credit card you want to block temporarily to prevent unauthorized transactions,BLOCK_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Temporary Block Credit Card ,,,,
8,CC,All,unblock credit card|credit card unblock|unblock card|resume credit card|enable credit card|card control|unblock my credit card|reactivate credit card|activate credit card|enable my credit card|credit card unfreeze|remove block on credit card|unblock cc|cc unblock|lift credit card block|found my credit card|re-enable credit card,Unblock credit card,Please select the credit card you want to unblock if it was temporarily blocked earlier,UNBLOCK_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,UnBlock Credit Card ,,,,
9,RAS,All,savings interest|interest rate savings|savings rate|account interest|interest earnings|current rate|savings returns|interest|savings account interest|savings ac rate|sb interest rate|sb account interest|what is my interest rate|savings account roi|sa interest|current savings rate|savings interest percentage|interest rate on savings|saving account interest rate,What is the savings account interest rate?,"Sure, please find your savings interest rate below",SAVINGS_INTEREST_RATES,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,Accounts,,,Accounts,,FALSE,Savings Interest Rates,,,,
10,CC,All,credit card outstanding|statement balance|total due|card dues|amount payable|billing balance|credit card bill|cc outstanding|credit card due|cc due|credit card outstanding balance|my credit card dues|how much do I owe on credit card|credit card payable|cc bill amount|total credit card outstanding|my cc bill|what do I owe on my credit card|credit card balance due,What is my credit card outstanding?,You can view your total outstanding and statement balance for your credit card in one place.,CREDIT_CARD_OUTSTANDING_AMOUNT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Credit Card Outstanding Amount,,,,
